Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,league
平岡　敬人,Carp,500,投手,1,186,92,AB型,右,右,兵庫,1995-08-06,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
青木　陸,Carp,450,内野手,3,181,87,B型,右,右,山形,1997-11-11,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
カンポス,Carp,4500,投手,1,188,97,不明,右,右,ベネズエラ,1987-07-17,70,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,2,6.12,C
バティスタ,Carp,2200,外野手,3,189,107,不明,右,右,ドミニカ共和国,1992-01-18,95,0.25,73,245,220,55,20,41,0,22,1,64,0,6,0.318,0.559,0.877,5.81,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
メヒア,Carp,1200,内野手,3,192,98,不明,右,右,ドミニカ共和国,1993-03-10,96,0.29,19,33,31,9,2,5,1,1,1,10,0,2,0.333,0.548,0.882,5.63,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
フランスア,Carp,230,投手,1,186,110,不明,左,左,ドミニカ共和国,1993-09-25,97,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,1,3,0,15,0.25,199,48.2,27,2,23,1,63,14,10,1.03,2.54,C
佐藤　祥万,Carp,700,投手,11,172,81,B型,左,左,栃木,1989-08-18,98,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06,0,0,0,0,0,25,5.1,5,0,2,1,6,4,3,1.31,2.56,C
岡林　飛翔,Carp,240,投手,1,183,85,O型,右,右,三重,1999-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
藤井　黎來,Carp,240,投手,1,182,86,A型,右,右,秋田,1999-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
佐々木　健,Carp,250,投手,1,189,78,A型,右,右,静岡,1999-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
木村　聡司,Carp,360,内野手,4,180,78,B型,右,右,静岡,1996-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
タバーレス,Carp,230,投手,1,187,106,不明,右,右,ドミニカ共和国,1994-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
上本　博紀,Tigers,4300,内野手,10,173,71,O型,右,右,広島,1986-07-04,00,0.422,20,53,45,19,1,6,4,6,0,8,1,1,0.481,0.556,1.036,11.35,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
鳥谷　敬,Tigers,4e4,内野手,15,180,80,B型,右,左,東京,1981-06-26,1,0.229,97,229,192,44,1,17,1,30,1,34,3,5,0.332,0.297,0.629,3.54,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
